v.x,v.y,v.z,n.x,n.y,n.z
-0.259450336,-0.086348745,0.961888464,-0.259450336,-0.086348745,0.961888464
-0.25471685,-0.147060916,0.95576797,-0.25471685,-0.147060916,0.95576797
-0.303654473,-0.17531508,0.936514059,-0.303654473,-0.17531508,0.936514059
-0.259450336,-0.086348745,0.961888464,-0.259450336,-0.086348745,0.961888464
-0.309468505,-0.114574075,0.943982005,-0.309468505,-0.114574075,0.943982005
-0.314113042,-0.053400089,0.947882602,-0.314113042,-0.053400089,0.947882602
-0.309468505,-0.114574075,0.943982005,-0.309468505,-0.114574075,0.943982005
-0.263791702,-0.024982429,0.964256095,-0.263791702,-0.024982429,0.964256095
-0.212518629,0.003525364,0.977150656,-0.212518629,0.003525364,0.977150656
-0.263791702,-0.024982429,0.964256095,-0.263791702,-0.024982429,0.964256095
-0.259450336,-0.086348745,0.961888464,-0.259450336,-0.086348745,0.961888464
-0.259450336,-0.086348745,0.961888464,-0.259450336,-0.086348745,0.961888464
-0.263791702,-0.024982429,0.964256095,-0.263791702,-0.024982429,0.964256095
-0.309468505,-0.114574075,0.943982005,-0.309468505,-0.114574075,0.943982005
0,0.459699788,0.888074381,0,0.459699788,0.888074381
-0.055697063,0.381209846,0.922809238,-0.055697063,0.381209846,0.922809238
0,0.405887747,0.913922938,0,0.405887747,0.913922938
0,0.35062917,0.936514381,0,0.35062917,0.936514381
0,0.405887747,0.913922938,0,0.405887747,0.913922938
-0.055510396,0.325293681,0.943982318,-0.055510396,0.325293681,0.943982318
-0.110811014,0.298728887,0.947882889,-0.110811014,0.298728887,0.947882889
-0.055510396,0.325293681,0.943982318,-0.055510396,0.325293681,0.943982318
-0.055697063,0.381209846,0.922809238,-0.055697063,0.381209846,0.922809238
-0.055697063,0.381209846,0.922809238,-0.055697063,0.381209846,0.922809238
-0.055510396,0.325293681,0.943982318,-0.055510396,0.325293681,0.943982318
0,0.405887747,0.913922938,0,0.405887747,0.913922938
0,0.2365646,0.971615763,0,0.2365646,0.971615763
0,0.294120991,0.955768195,0,0.294120991,0.955768195
-0.054758599,0.209815683,0.976206369,-0.054758599,0.209815683,0.976206369
-0.109312671,0.182283087,0.977150764,-0.109312671,0.182283087,0.977150764
